date,Team_1,Team_2,Winner,Margin,Ground
8-Feb-16,New Zealand,Australia,New Zealand,55 runs,Hamilton
9-Feb-16,South Africa,England,South Africa,7 wickets,Centurion
12-Feb-16,South Africa,England,South Africa,1 wicket,Johannesburg
14-Feb-16,South Africa,England,South Africa,5 wickets,Cape Town
3-Jun-16,West Indies,South Africa,West Indies,4 wickets,Providence
5-Jun-16,West Indies,Australia,Australia,6 wickets,Providence
7-Jun-16,Australia,South Africa,South Africa,47 runs,Providence
11-Jun-16,Zimbabwe,India,India,9 wickets,Harare
11-Jun-16,Australia,South Africa,Australia,36 runs,Basseterre
13-Jun-16,Zimbabwe,India,India,8 wickets,Harare
13-Jun-16,West Indies,Australia,West Indies,4 wickets,Basseterre
15-Jun-16,Zimbabwe,India,India,10 wickets,Harare
15-Jun-16,West Indies,South Africa,South Africa,139 runs,Basseterre
16-Jun-16,Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide)
18-Jun-16,Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide)
19-Jun-16,Australia,South Africa,no result,,Bridgetown
21-Jun-16,England,Sri Lanka,tied,,Nottingham
21-Jun-16,West Indies,Australia,Australia,6 wickets,Bridgetown
24-Jun-16,England,Sri Lanka,England,10 wickets,Birmingham
24-Jun-16,West Indies,South Africa,West Indies,100 runs,Bridgetown
26-Jun-16,England,Sri Lanka,no result,,Bristol
26-Jun-16,West Indies,Australia,Australia,58 runs,Bridgetown
29-Jun-16,England,Sri Lanka,England,6 wickets,The Oval
2-Jul-16,England,Sri Lanka,England,122 runs,Cardiff
4-Jul-16,Scotland,Afghanistan,no result,,Edinburgh
6-Jul-16,Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh
12-Jul-16,Ireland,Afghanistan,Afghanistan,39 runs,Belfast
14-Jul-16,Ireland,Afghanistan,Ireland,6 wickets,Belfast
17-Jul-16,Ireland,Afghanistan,Afghanistan,79 runs,Belfast
19-Jul-16,Ireland,Afghanistan,Ireland,12 runs,Belfast
14-Aug-16,Scotland,U.A.E.,Scotland,98 runs,Edinburgh
16-Aug-16,Scotland,U.A.E.,Scotland,7 wickets,Edinburgh
18-Aug-16,Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide)
21-Aug-16,Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS)
24-Aug-16,Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS)
24-Aug-16,England,Pakistan,England,44 runs,Southampton
27-Aug-16,England,Pakistan,England,4 wickets,Lord's
28-Aug-16,Sri Lanka,Australia,Australia,2 wickets,Dambulla
30-Aug-16,England,Pakistan,England,169 runs,Nottingham
31-Aug-16,Sri Lanka,Australia,Australia,6 wickets,Dambulla
1-Sep-16,England,Pakistan,England,4 wickets,Leeds
4-Sep-16,Sri Lanka,Australia,Australia,5 wickets,Pallekele
4-Sep-16,England,Pakistan,Pakistan,4 wickets,Cardiff
8-Sep-16,Scotland,Hong Kong,no result,,Edinburgh
10-Sep-16,Scotland,Hong Kong,Scotland,53 runs,Edinburgh
25-Sep-16,South Africa,Ireland,South Africa,206 runs,Benoni
25-Sep-16,Bangladesh,Afghanistan,Bangladesh,7 runs,Dhaka
27-Sep-16,Australia,Ireland,Australia,9 wickets,Benoni
28-Sep-16,Bangladesh,Afghanistan,Afghanistan,2 wickets,Dhaka
30-Sep-16,Pakistan,West Indies,Pakistan,111 runs,Sharjah
30-Sep-16,South Africa,Australia,South Africa,6 wickets,Centurion
1-Oct-16,Bangladesh,Afghanistan,Bangladesh,141 runs,Dhaka
2-Oct-16,South Africa,Australia,South Africa,142 runs,Johannesburg
2-Oct-16,Pakistan,West Indies,Pakistan,59 runs,Sharjah
5-Oct-16,Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi
5-Oct-16,South Africa,Australia,South Africa,4 wickets,Durban
7-Oct-16,Bangladesh,England,England,21 runs,Dhaka
9-Oct-16,South Africa,Australia,South Africa,6 wickets,Port Elizabeth
9-Oct-16,Bangladesh,England,Bangladesh,34 runs,Dhaka
12-Oct-16,Bangladesh,England,England,4 wickets,Chittagong
12-Oct-16,South Africa,Australia,South Africa,31 runs,Cape Town
16-Oct-16,India,New Zealand,India,6 wickets,Dharamsala
20-Oct-16,India,New Zealand,New Zealand,6 runs,Delhi
23-Oct-16,India,New Zealand,India,7 wickets,Mohali
26-Oct-16,India,New Zealand,New Zealand,19 runs,Ranchi
29-Oct-16,India,New Zealand,India,190 runs,Visakhapatnam
4-Nov-16,Hong Kong,P.N.G.,Hong Kong,106 runs,Mong Kok
6-Nov-16,Hong Kong,P.N.G.,P.N.G.,14 runs,Mong Kok
8-Nov-16,Hong Kong,P.N.G.,Hong Kong,7 wickets,Mong Kok
14-Nov-16,Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare
16-Nov-16,Sri Lanka,West Indies,West Indies,62 runs,Harare
19-Nov-16,Zimbabwe,West Indies,tied,,Bulawayo
21-Nov-16,Zimbabwe,Sri Lanka,no result,,Bulawayo
23-Nov-16,Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo
25-Nov-16,Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo
27-Nov-16,Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo
4-Dec-16,Australia,New Zealand,Australia,68 runs,Sydney
6-Dec-16,Australia,New Zealand,Australia,116 runs,Canberra
9-Dec-16,Australia,New Zealand,Australia,117 runs,Melbourne
26-Dec-16,New Zealand,Bangladesh,New Zealand,77 runs,Christchurch
29-Dec-16,New Zealand,Bangladesh,New Zealand,67 runs,Nelson
31-Dec-16,New Zealand,Bangladesh,New Zealand,8 wickets,Nelson
13-Jan-17,Australia,Pakistan,Australia,92 runs,Brisbane
15-Jan-17,Australia,Pakistan,Pakistan,6 wickets,Melbourne
15-Jan-17,India,England,India,3 wickets,Pune
19-Jan-17,Australia,Pakistan,Australia,7 wickets,Perth
19-Jan-17,India,England,India,15 runs,Cuttack
22-Jan-17,Australia,Pakistan,Australia,86 runs,Sydney
22-Jan-17,Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi
22-Jan-17,India,England,England,5 runs,Kolkata
24-Jan-17,U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC)
26-Jan-17,Australia,Pakistan,Australia,57 runs,Adelaide
26-Jan-17,U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC)
28-Jan-17,South Africa,Sri Lanka,South Africa,8 wickets,Port Elizabeth
30-Jan-17,New Zealand,Australia,New Zealand,6 runs,Auckland
1-Feb-17,South Africa,Sri Lanka,South Africa,121 runs,Durban
4-Feb-17,South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg
5-Feb-17,New Zealand,Australia,New Zealand,24 runs,Hamilton
7-Feb-17,South Africa,Sri Lanka,South Africa,40 runs,Cape Town
10-Feb-17,South Africa,Sri Lanka,South Africa,88 runs,Centurion
16-Feb-17,Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare
19-Feb-17,New Zealand,South Africa,South Africa,4 wickets,Hamilton
19-Feb-17,Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare
21-Feb-17,Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare
22-Feb-17,New Zealand,South Africa,New Zealand,6 runs,Christchurch
24-Feb-17,Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare
25-Feb-17,New Zealand,South Africa,South Africa,159 runs,Wellington
26-Feb-17,Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare
1-Mar-17,New Zealand,South Africa,New Zealand,7 wickets,Hamilton
2-Mar-17,U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai
3-Mar-17,West Indies,England,England,45 runs,North Sound
4-Mar-17,New Zealand,South Africa,South Africa,6 wickets,Auckland
4-Mar-17,U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai
5-Mar-17,West Indies,England,England,4 wickets,North Sound
9-Mar-17,West Indies,England,England,186 runs,Bridgetown
15-Mar-17,Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida
17-Mar-17,Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida
19-Mar-17,Afghanistan,Ireland,Ireland,6 wickets,Greater Noida
22-Mar-17,Afghanistan,Ireland,Ireland,3 wickets,Greater Noida
24-Mar-17,Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida
25-Mar-17,Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla
28-Mar-17,Sri Lanka,Bangladesh,no result,,Dambulla
31-Mar-17,U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi
1-Apr-17,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC)
2-Apr-17,U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi
4-Apr-17,U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi
7-Apr-17,West Indies,Pakistan,West Indies,4 wickets,Providence
9-Apr-17,West Indies,Pakistan,Pakistan,74 runs,Providence
11-Apr-17,West Indies,Pakistan,Pakistan,6 wickets,Providence
5-May-17,England,Ireland,England,7 wickets,Bristol
7-May-17,England,Ireland,England,85 runs,Lord's
12-May-17,Ireland,Bangladesh,no result,,Dublin (Malahide)
14-May-17,Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide)
17-May-17,Bangladesh,New Zealand,New Zealand,4 wickets,Dublin
19-May-17,Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide)
21-May-17,Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide)
24-May-17,Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin
24-May-17,England,South Africa,England,72 runs,Leeds
27-May-17,England,South Africa,England,2 runs,Southampton
29-May-17,England,South Africa,South Africa,7 wickets,Lord's
1-Jun-17,England,Bangladesh,England,8 wickets,The Oval
2-Jun-17,Australia,New Zealand,no result,,Birmingham
3-Jun-17,South Africa,Sri Lanka,South Africa,96 runs,The Oval
4-Jun-17,India,Pakistan,India,124 runs,Birmingham
5-Jun-17,Australia,Bangladesh,no result,,The Oval
6-Jun-17,England,New Zealand,England,87 runs,Cardiff
7-Jun-17,Pakistan,South Africa,Pakistan,19 runs,Birmingham
8-Jun-17,India,Sri Lanka,Sri Lanka,7 wickets,The Oval
9-Jun-17,Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff
9-Jun-17,West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet
10-Jun-17,England,Australia,England,40 runs,Birmingham
11-Jun-17,India,South Africa,India,8 wickets,The Oval
11-Jun-17,West Indies,Afghanistan,West Indies,4 wickets,Gros Islet
12-Jun-17,Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff
14-Jun-17,England,Pakistan,Pakistan,8 wickets,Cardiff
14-Jun-17,West Indies,Afghanistan,no result,,Gros Islet
15-Jun-17,Bangladesh,India,India,9 wickets,Birmingham
15-Jun-17,Scotland,Zimbabwe,Scotland,26 runs,Edinburgh
17-Jun-17,Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh
18-Jun-17,India,Pakistan,Pakistan,180 runs,The Oval
23-Jun-17,West Indies,India,no result,,Port of Spain
25-Jun-17,West Indies,India,India,105 runs,Port of Spain
30-Jun-17,Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle
30-Jun-17,West Indies,India,India,93 runs,North Sound
2-Jul-17,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle
2-Jul-17,West Indies,India,West Indies,11 runs,North Sound
6-Jul-17,Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota
6-Jul-17,West Indies,India,India,8 wickets,Kingston
8-Jul-17,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota
10-Jul-17,Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota
20-Aug-17,Sri Lanka,India,India,9 wickets,Dambulla
24-Aug-17,Sri Lanka,India,India,3 wickets,Pallekele
27-Aug-17,Sri Lanka,India,India,6 wickets,Pallekele
31-Aug-17,Sri Lanka,India,India,168 runs,Colombo (RPS)
3-Sep-17,Sri Lanka,India,India,6 wickets,Colombo (RPS)
17-Sep-17,India,Australia,India,26 runs,Chennai
19-Sep-17,England,West Indies,England,7 wickets,Manchester
21-Sep-17,India,Australia,India,50 runs,Kolkata
21-Sep-17,England,West Indies,no result,,Nottingham
24-Sep-17,India,Australia,India,5 wickets,Indore
24-Sep-17,England,West Indies,England,124 runs,Bristol
27-Sep-17,England,West Indies,England,6 runs,The Oval
28-Sep-17,India,Australia,Australia,21 runs,Bengaluru
29-Sep-17,England,West Indies,England,9 wickets,Southampton
1-Oct-17,India,Australia,India,7 wickets,Nagpur
6-Oct-17,P.N.G.,Scotland,Scotland,101 runs,Port Moresby
8-Oct-17,P.N.G.,Scotland,P.N.G.,5 wickets,Port Moresby
13-Oct-17,Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC)
15-Oct-17,South Africa,Bangladesh,South Africa,10 wickets,Kimberley
16-Oct-17,Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi
18-Oct-17,South Africa,Bangladesh,South Africa,104 runs,Paarl
18-Oct-17,Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi
20-Oct-17,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah
22-Oct-17,India,New Zealand,New Zealand,6 wickets,Mumbai
22-Oct-17,South Africa,Bangladesh,South Africa,200 runs,East London
23-Oct-17,Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah
25-Oct-17,India,New Zealand,India,6 wickets,Pune
29-Oct-17,India,New Zealand,India,6 runs,Kanpur
